Hub,RemovalSite,DisposalSite,SnowTransported,Start_Lat,Start_Lng,End_Lat,End_Lng
VMA-307,CDN-301,Riverside (VMA),226169.69,45.47552466,-73.63975434,45.491,-73.552
VMA-307,MHM-106,Iberville (PMR),150424.21,45.59482761,-73.53571902,45.533,-73.555
VMA-307,MHM-107,Iberville (PMR),156504.79,45.59030081,-73.54893298,45.533,-73.555
VMA-307,CDN-113,Riverside (VMA),110109.53,45.49108823,-73.62765679,45.491,-73.552
VMA-307,LAS-328,Fullum (VMA),90925.53,45.43943653,-73.62177664,45.525,-73.545
VMA-307,LAS-329,Saint-Pierre (LAC),66308.04,45.44121084,-73.64583339,45.468,-73.599
VMA-307,LAS-321,Butler (S-O),61684.34,45.43713099,-73.5975788,45.475,-73.569
VMA-307,ANJ-310,Iberville (PMR),65548.68,45.59304821,-73.55717888,45.533,-73.555
VMA-307,VSP-205,Iberville (PMR),105697.54,45.57613921,-73.63611344,45.533,-73.555
VMA-307,AHU-106,Millen (AHU),160528.94,45.57207083,-73.66193861,45.557,-73.668
VMA-307,LAS-327,Fullum (VMA),68856.07,45.43378628,-73.63813045,45.525,-73.545
VMA-307,VER-310A,Butler (S-O),193127.45,45.43737817,-73.59918246,45.475,-73.569
VMA-307,MHM-108,Iberville (PMR),177831.34,45.59659289,-73.56965627,45.533,-73.555
VMA-307,SLE-111,Iberville (PMR),112853.32,45.59063956,-73.61809441,45.533,-73.555
VMA-307,LAS-323,Butler (S-O),81718.74,45.42777023,-73.60618434,45.475,-73.569
VMA-307,ANJ-309,Iberville (PMR),68076.99,45.60227753,-73.55934654,45.533,-73.555
VMA-307,CDN-114,Riverside (VMA),90497.64,45.48914054,-73.65135848,45.491,-73.552
VMA-307,LAS-326,Fullum (VMA),66068.18,45.42916816,-73.66596827,45.525,-73.545
VMA-307,LAS-330,Saint-Pierre (LAC),69701.58,45.42839166,-73.66598992,45.468,-73.599
VMA-307,MTN-305,St-Michel - Charland (VSP),173318.12,45.58633997,-73.63281797,45.579,-73.633
VMA-307,LAS-325,Saint-Pierre (LAC),77214.89,45.42322946,-73.64119391,45.468,-73.599
VMA-307,SLE-110,Iberville (PMR),143274.78,45.59715655,-73.6185478,45.533,-73.555
VMA-307,CDN-116,Riverside (VMA),100403.2,45.50521911,-73.6412747,45.491,-73.552
VMA-307,SLA-364,Jules-Poitras 2 (SLA),96099.1,45.51453166,-73.68277358,45.529,-73.687
VMA-307,CDN-115,Riverside (VMA),86829.59,45.50378342,-73.6382155,45.491,-73.552
