Removal Site 1,Removal Site 2,Distance
LAS-325,AHU-103,23.22
LAS-326,AHU-103,22.87
LAS-327,AHU-103,22.69
LAS-328,AHU-103,23.17
LAS-329,AHU-103,20.89
LAS-330,AHU-103,22.93
LAS-333,AHU-103,23.72
MHM-105,AHU-103,20.49
MHM-106,AHU-103,21.42
MHM-107,AHU-103,18.23
MHM-108,AHU-103,16.45
MHM-109,AHU-103,16.33
MHM-209,AHU-103,16.71
MHM-210,AHU-103,16.46
MHM-211,AHU-103,19.06
MTN-102,AHU-103,20
MTN-103,AHU-103,25.41
MTN-104,AHU-103,11.7
MTN-305,AHU-103,10.26
MTN-307,AHU-103,20.39
OUT-101,AHU-103,10.1
PMR-101,AHU-103,11.68
PMR-102,AHU-103,11.97
PMR-203,AHU-103,12.32
PMR-204,AHU-103,14.75
PRF-304B,AHU-103,27.82
PRF-304C,AHU-103,27.77
PRF-304D,AHU-103,25.81
PRF-304E,AHU-103,24
PRF-304F,AHU-103,8.12
RDP-101,AHU-103,27.7
RDP-102,AHU-103,21.85
RDP-103,AHU-103,27.7
RDP-105,AHU-103,28.54
RDP-106,AHU-103,28.26
RDP-107,AHU-103,25.48
RDP-201,AHU-103,23.8
RDP-202,AHU-103,24.13
RDP-203,AHU-103,25.48
RPP-101,AHU-103,9.88
RPP-102,AHU-103,13.73
RPP-103,AHU-103,14.33
RPP-104,AHU-103,15.53
RPP-201,AHU-103,11.49
RPP-204,AHU-103,11.71
RPP-205,AHU-103,13.77
SLA-363,AHU-103,3.32
SLA-364,AHU-103,4.98
SLA-365,AHU-103,5.68
SLA-366,AHU-103,3.65
SLA-367,AHU-103,3.75
SLA-368,AHU-103,6.14
SLA-369,AHU-103,6.08
SLA-370,AHU-103,7.48
SLA-371,AHU-103,4.91
SLE-109,AHU-103,14.79
SLE-110,AHU-103,16.43
SLE-111,AHU-103,17.21
SLE-303,AHU-103,16.57
SLE-304,AHU-103,16.57
S-O-103,AHU-103,22.11
S-O-104,AHU-103,20.05
S-O-201A,AHU-103,18.78
S-O-201B,AHU-103,17.6
VER-310A,AHU-103,20.52
VER-310B,AHU-103,22.67
VMA-109,AHU-103,23.03
VMA-110,AHU-103,19.6
VMA-111,AHU-103,14.06
VMA-306,AHU-103,14.25
VMA-307,AHU-103,14.67
VSP-103,AHU-103,10.51
VSP-104,AHU-103,7.73
VSP-107,AHU-103,10.25
VSP-108,AHU-103,11.75
VSP-109,AHU-103,7.54
VSP-205,AHU-103,9.8
VSP-206,AHU-103,11.02
AHU-101,AHU-104,1.25
AHU-102,AHU-104,0.96
AHU-103,AHU-104,1.25
AHU-104,AHU-104,0
AHU-105,AHU-104,3
AHU-106,AHU-104,7.23
AHU-107,AHU-104,3.71
AHU-201,AHU-104,3.2
AHU-202,AHU-104,1.48
ANJ-101,AHU-104,20.08
ANJ-309,AHU-104,18.85
ANJ-310,AHU-104,18.18
ANJ-311,AHU-104,15.82
ANJ-312,AHU-104,18.29
CDN-111,AHU-104,14.13
CDN-112,AHU-104,12.21
CDN-113,AHU-104,12.6
CDN-114,AHU-104,10.81
CDN-115,AHU-104,11.65
CDN-116,AHU-104,11.36
CDN-301,AHU-104,13.19
IBI-301,AHU-104,35.23
LAC-102,AHU-104,16.53
LAC-104,AHU-104,14.07
LAC-305,AHU-104,16.7
LAC-306,AHU-104,17.18
LAS-321,AHU-104,20.26
LAS-323,AHU-104,25.23
LAS-325,AHU-104,22.9
LAS-326,AHU-104,22.55
LAS-327,AHU-104,22.37
LAS-328,AHU-104,22.85
LAS-329,AHU-104,20.57
LAS-330,AHU-104,22.61
LAS-333,AHU-104,23.4
MHM-105,AHU-104,20.17
MHM-106,AHU-104,19.82
MHM-107,AHU-104,17.91
MHM-108,AHU-104,16.13
MHM-109,AHU-104,16.01
MHM-209,AHU-104,16.39
MHM-210,AHU-104,16.14
MHM-211,AHU-104,18.74
MTN-102,AHU-104,19.68
MTN-103,AHU-104,11.94
MTN-104,AHU-104,9.34
MTN-305,AHU-104,7.9
MTN-307,AHU-104,20.07
OUT-101,AHU-104,9.79
PMR-101,AHU-104,11.36
PMR-102,AHU-104,11.66
PMR-203,AHU-104,12
PMR-204,AHU-104,14.44
PRF-304B,AHU-104,27.5
PRF-304C,AHU-104,27.45
PRF-304D,AHU-104,25.5
PRF-304E,AHU-104,23.68
PRF-304F,AHU-104,8.08
RDP-101,AHU-104,23.74
RDP-102,AHU-104,21.53
RDP-103,AHU-104,23.74
RDP-105,AHU-104,28.23
RDP-106,AHU-104,27.94
RDP-107,AHU-104,25.16
RDP-201,AHU-104,23.48
RDP-202,AHU-104,23.81
RDP-203,AHU-104,25.16
RPP-101,AHU-104,9.56
RPP-102,AHU-104,13.41
RPP-103,AHU-104,14.01
RPP-104,AHU-104,15.21
RPP-201,AHU-104,11.17
RPP-204,AHU-104,11.39
RPP-205,AHU-104,13.45
SLA-363,AHU-104,3.29
SLA-364,AHU-104,5.78
SLA-365,AHU-104,5.64
SLA-366,AHU-104,3.33
SLA-367,AHU-104,5.04
SLA-368,AHU-104,6.11
SLA-369,AHU-104,6.04
SLA-370,AHU-104,7.44
SLA-371,AHU-104,4.59
SLE-109,AHU-104,14.47
SLE-110,AHU-104,16.11
SLE-111,AHU-104,16.89
SLE-303,AHU-104,16.25
SLE-304,AHU-104,16.25
S-O-103,AHU-104,21.79
S-O-104,AHU-104,19.73
S-O-201A,AHU-104,18.47
S-O-201B,AHU-104,17.28
VER-310A,AHU-104,20.2
VER-310B,AHU-104,22.35
VMA-109,AHU-104,24.11
VMA-110,AHU-104,19.28
VMA-111,AHU-104,13.74
VMA-306,AHU-104,13.93
VMA-307,AHU-104,14.36
VSP-103,AHU-104,10.19
VSP-104,AHU-104,5.37
VSP-107,AHU-104,9.93
VSP-108,AHU-104,11.43
VSP-109,AHU-104,7.22
VSP-205,AHU-104,7.44
VSP-206,AHU-104,10.7
AHU-101,AHU-105,4.87
AHU-102,AHU-105,4.66
AHU-103,AHU-105,4.87
AHU-104,AHU-105,4.13
AHU-105,AHU-105,0
AHU-106,AHU-105,6.89
AHU-107,AHU-105,1.27
AHU-201,AHU-105,2.86
AHU-202,AHU-105,2.27
ANJ-101,AHU-105,15.48
ANJ-309,AHU-105,14.25
ANJ-310,AHU-105,13.58
ANJ-311,AHU-105,11.22
ANJ-312,AHU-105,13.69
CDN-111,AHU-105,12.62
CDN-112,AHU-105,10.71
CDN-113,AHU-105,11.1
CDN-114,AHU-105,9.3
CDN-115,AHU-105,7.43
CDN-116,AHU-105,7.13
CDN-301,AHU-105,11.69
IBI-301,AHU-105,33.73
LAC-102,AHU-105,15.03
LAC-104,AHU-105,12.57
LAC-305,AHU-105,15.19
LAC-306,AHU-105,15.68
LAS-321,AHU-105,18.76
LAS-323,AHU-105,23.73
LAS-325,AHU-105,21.4
